Group,Type,UniqueTag,AllTags,Config,Description,Describe,TestCategory
Database,Sqlinstance,AutoUpdateStatisticsAsynchronously,"AutoUpdateStatisticsAsynchronously, Low, Database",app.sqlinstance policy.database.autoupdatestatisticsasynchronously ,Tests the Auto Update Statistics Asynchronously property on each database is set to the specified (default false) value,Auto Update Statistics Asynchronously,DBA
Database,Sqlinstance,DatafileAutoGrowthType,"DatafileAutoGrowthType, Low, Database",app.sqlinstance policy.database.filegrowthtype policy.database.filegrowthvalue policy.database.filegrowthexcludedb skip.database.filegrowthdisabled ,"Tests that the Datafile Auto Growth type and value on each database except those specified is set to the specified (default type = kb, value = 65535) values",Datafile Auto Growth Configuration,DBA
Database,Sqlinstance,Trustworthy,"Trustworthy, DISA, Varied, CIS, Database",app.sqlinstance policy.database.trustworthyexcludedb ,Tests that the Trustworthy Option for each database is set to false,Trustworthy Option,DBA
Database,Sqlinstance,OrphanedUser,"OrphanedUser, CIS, Medium, Database",app.sqlinstance ,Tests that each database has 0 orphaned users,Database Orphaned User,DBA
Database,Sqlinstance,PseudoSimple,"PseudoSimple, Medium, Database",app.sqlinstance ,Tests that databases are not in PseudoSimple Recovery Model,PseudoSimple Recovery Model,DBA
Database,Sqlinstance,CompatibilityLevel,"CompatibilityLevel, High, Database",app.sqlinstance ,tests that the servers compatibility level matches the compatibility level,Compatibility Level,Advanced
Database,Sqlinstance,FKCKTrusted,"FKCKTrusted, Low, Database",app.sqlinstance ,Tests that each foreign key and each constraint is trusted,Foreign keys and check constraints not trusted,DBA
Database,Sqlinstance,MaxDopDatabase,"MaxDopDatabase, MaxDop, Low, Database",app.sqlinstance policy.database.maxdop policy.database.maxdopexcludedb ,Tests that the database level MaxDop settings for all databases on all instances from version 2016 up are set to the specified value (default 0),Database MaxDop,DBA
Database,Sqlinstance,DatabaseStatus,"DatabaseStatus, High, Database",app.sqlinstance policy.database.status.excludereadonly policy.database.status.excludeoffline policy.database.status.excluderestoring ,"Tests that there are no databases on an instance that are in a state of AutoClose, Offline, ReadOnly, Restoring, Recovery, Recovery Pending, EmergencyMode, Suspect or StandBy. Databases that are in ReadOnly,Offline and Restoring mode can be specified (default none)",Database Status,Advanced
Database,Sqlinstance,DatabaseExists,"DatabaseExists, Database",app.sqlinstance database.exists ,Tests that the databases are specified are on the instance (Note - Does not check if they are available - Use DatabaseStatus for that)),Database Exists,Advanced
Database,Sqlinstance,ContainedDBAutoClose,"ContainedDBAutoClose, CIS, Database",app.sqlinstance skip.security.containedbautoclose ,Tests that each contained database has AUTO CLOSE disabled.,Contained Database Auto Close,Advanced
Database,Sqlinstance,CLRAssembliesSafe,"CLRAssembliesSafe, CIS, Database",app.sqlinstance skip.security.clrassembliessafe policy.database.clrassembliessafeexcludedb ,Tests that CLR assembly permissions are set to SAFE_ACCESS.,CLR Assemblies SAFE_ACCESS,DBA
Database,Sqlinstance,GuestUserConnect,"GuestUserConnect, Security, CIS, Medium, Database",app.sqlinstance skip.security.guestuserconnect ,Tests that guest user does not have CONNECT permission.,Guest User,Advanced
Database,Sqlinstance,AsymmetricKeySize,"AsymmetricKeySize, CIS, Database",app.sqlinstance skip.security.asymmetrickeysize ,Tests that Asymmetric Key Sizes are at least 2048 in non-system databases.,AsymmetricKeySize,DBA
Database,Sqlinstance,SymmetricKeyEncryptionLevel,"SymmetricKeyEncryptionLevel, CIS, Database",app.sqlinstance skip.security.symmetrickeyencryptionlevel ,Tests that Symmetric Key Encryption Level is at least AES_128 in non-system databases.,SymmetricKeyEncryptionLevel,DBA
Database,Sqlinstance,ContainedDBSQLAuth,"ContainedDBSQLAuth, CIS, Database",app.sqlinstance skip.security.ContainedDBSQLAuth ,Tests to see a contained database contains sql authenticated users.,Contained Database SQL Authenticated Users,DBA
Database,Sqlinstance,QueryStoreEnabled,"QueryStoreEnabled, Medium, Database",app.sqlinstance database.querystoreenabled.excludedb skip.security.querystoreenabled ,Tests to see Query Store is enabled on each database except those specified.,Query Store Enabled,DBA
Database,Sqlinstance,QueryStoreDisabled,"QueryStoreDisabled, Medium, Database",app.sqlinstance database.querystoredisabled.excludedb skip.security.querystoredisabled ,Tests to see Query Store is disabled on each database except those specified.,Query Store Disabled,DBA
Domain,ComputerName,DomainName,"DomainName, Domain",app.computername domain.name ,Uses WMI Win32_ComputerSystem to check that the host machine is on the correct domain,Active Directory Domain Name,Basic
Domain,ComputerName,OrganizationalUnit,"OrganizationalUnit, Domain",app.computername domain.domaincontroller domain.organizationalunit ,Currently skipped - Active Directory OU,Active Directory OU,Basic
HADR,ClusterNode,ClusterHealth,"ClusterHealth, HADR",app.sqlinstance app.cluster skip.cluster.netclusterinterface skip.hadr.listener.pingcheck skip.hadr.listener.tcpport skip.hadr.replica.tcpport domain.name policy.hadr.agtcpport policy.hadr.tcpport policy.hadr.endpointname policy.hadr.endpointport policy.hadr.sessiontimeout policy.hadr.failureconditionlevel policy.hadr.healthchecktimeout policy.hadr.leasetimeout policy.cluster.NetworkProtocolsIPV4 policy.cluster.hostrecordttl policy.cluster.registerallprovidersIP ,"Runs a suite of tests against an Availability Group on a Windows cluster to ensure that everything is as it should be. Tests cluster resources are online, cluster nodes are up, at least one IP Address for the AG listener is available, that each replica and listener are pingable (listener ping check can be skipped), can be connected to via T-SQL, have the correct domain name and TCP port, that each replica is synchronized/ing, is connected, is not in an unknown state, each database is synchronized/ing, failover ready and joined to the domain and that the Always On Health Extended Event sessions are running and set to auto-start",Cluster $clustername Health using Node $clustervm,Basic
Instance,Sqlinstance,InstanceConnection,"InstanceConnection, Connectivity, High, Instance",app.sqlinstance skip.connection.remoting skip.connection.ping skip.connection.auth policy.connection.authscheme ,"Tests that a SQL query can be run, that the specified authentication scheme (default kerberos) is being used, that the host responds to one ping and that the host supports PS Remoting",Instance Connection,Basic
Instance,Sqlinstance,SqlEngineServiceAccount,"SqlEngineServiceAccount, ServiceAccount, High, Instance",app.sqlinstance policy.instance.sqlenginestart policy.instance.sqlenginestate ,Tests that the SQL Engine Service state is set to the configured value (default - Running) and that the start mode is set to the configured value (default - Automatic) unless it is a cluster in which case it checks that the start mode is set to Manual,SQL Engine Service,Basic
Instance,Sqlinstance,TempDbConfiguration,"TempDbConfiguration, Medium, Instance",app.sqlinstance skip.TempDb1118 skip.tempdbfileCount skip.TempDbFileGrowthPercent skip.TempDbFilesonC skip.TempDbFileSizeMax ,"Tests that the TempDB Configuration is correct, that TF118 is enabled, there are the recommended number of files, autogrowth is not set to percent, that the files can grow and that they are not located on the C drive (each of these tests can be configured individually to be skipped",TempDB Configuration,DBA
Instance,Sqlinstance,AdHocWorkload,"AdHocWorkload, Medium, Instance",app.sqlinstance ,Tests that the AAd Hoc Workload Optimization is enabled,Ad Hoc Workload Optimization,DBA
Instance,Sqlinstance,BackupPathAccess,"BackupPathAccess, Storage, DISA, Medium, Instance",app.sqlinstance policy.storage.backuppath ,Tests that the SQL Service account has access to the default backup path or the specified folder path,Backup Path Access,Basic
Instance,Sqlinstance,DefaultFilePath,"DefaultFilePath, Instance",app.sqlinstance ,Tests that the default file path for an instance is not the C drive,Default File Path,Basic
Instance,Sqlinstance,DAC,"DAC, CIS, Low, Instance",app.sqlinstance policy.dacallowed ,Tests that the Dedicated Administrator Connection configuration setting matches the specified value (default true),Dedicated Administrator Connection,Advanced
Instance,Sqlinstance,NetworkLatency,"NetworkLatency, Connectivity, Medium, Instance",app.sqlinstance policy.network.latencymaxms ,Tests that the Network Latency is less than the specified (default 40) ms,Network Latency,Advanced
Instance,Sqlinstance,LinkedServerConnection,"LinkedServerConnection, Connectivity, Medium, Instance",app.sqlinstance ,Tests for successful connection to all Linked Servers,Linked Servers,DBA
Instance,Sqlinstance,MaxMemory,"MaxMemory, High, Instance",app.sqlinstance ,Tests an instances Max Memory,Max Memory,Advanced
Instance,Sqlinstance,OrphanedFile,"OrphanedFile, Low, Instance",app.sqlinstance ,Tests that there are 0 orphaned data files,Orphaned Files,DBA
Instance,Sqlinstance,ServerNameMatch,"ServerNameMatch, Medium, Instance",app.sqlinstance ,Tests that the SQL + Windows names match,SQL and Windows names match,Advanced
Instance,Sqlinstance,MemoryDump,"MemoryDump, Medium, Instance",app.sqlinstance policy.dump.maxcount ,Tests that there are less than the specified (default 1) number of SQL Memory Dumps,SQL Memory Dumps,Advanced
Instance,Sqlinstance,SupportedBuild,"SupportedBuild, DISA, High, Instance",app.sqlinstance policy.build.warningwindow policy.build.behind ,Tests that the instance is still under Microsoft support and that it will still be under support in a specified (default 6) months,Supported Build,Advanced
Instance,Sqlinstance,SaRenamed,"SaRenamed, DISA, CIS, Medium, Instance",app.sqlinstance ,Tests that the SA Login has been renamed,SA Login Renamed,DBA
Instance,Sqlinstance,SaDisabled,"SaDisabled, DISA, CIS, Medium, Instance",app.sqlinstance skip.security.sadisabled ,Tests that the original SA Login is disabled,SA Login Disabled,DBA
Instance,Sqlinstance,SaExist,"SaExist, CIS, Medium, Instance",app.sqlinstance skip.security.saexist ,Tests that a sa login does not exist,Login SA cannot exist,DBA
Instance,Sqlinstance,DefaultBackupCompression,"DefaultBackupCompression, Low, Instance",app.sqlinstance policy.backup.defaultbackupcompression ,Tests that an instances Default Backup Compression is set to the specified (default true) setting,Default Backup Compression,Advanced
Instance,Sqlinstance,XESessionStopped,"XESessionStopped, ExtendedEvent, Medium, Instance",app.sqlinstance policy.xevent.requiredstoppedsession ,Tests that the specified (default blank) XE Sessions are stopped,XE Sessions That should be Stopped,DBA
Instance,Sqlinstance,XESessionRunning,"XESessionRunning, ExtendedEvent, Medium, Instance",app.sqlinstance policy.xevent.requiredrunningsession ,Tests that the specified (default blank) XE Sessions that are expected to be running are running,XE Sessions That should be Running,DBA
Instance,Sqlinstance,XESessionRunningAllowed,"XESessionRunningAllowed, ExtendedEvent, Medium, Instance",app.sqlinstance policy.xevent.validrunningsession ,Tests that the specified (default blank) XE Sessions that are allowed to be running are running,XE Sessions That Are Allowed to Be Running,DBA
Instance,Sqlinstance,OLEAutomation,"OLEAutomation, security, CIS, Medium, Instance",app.sqlinstance policy.oleautomation ,Tests that OLE Automation is set to the specified (default false) setting,OLE Automation,DBA
Instance,Sqlinstance,WhoIsActiveInstalled,"WhoIsActiveInstalled, Low, Instance",app.sqlinstance policy.whoisactive.database ,Tests that sp_whoisactive is Installed by testing the specified (default master) database for the stored procedure,sp_whoisactive is Installed,DBA
Instance,Sqlinstance,ModelDbGrowth,"ModelDbGrowth, Low, Instance",app.sqlinstance skip.instance.modeldbgrowth ,Tests that the Model Database Growth settings are not set to default,Model Database Growth,Advanced
Instance,Sqlinstance,ADUser,"ADUser, Domain, High, Instance",app.sqlinstance policy.adloginuser.excludecheck policy.adlogingroup.excludecheck ,"Tests that Ad Users and Groups, except those specified, that are logins on a SQL Server exist in Active Directory, do not have an expired password, are not locked out, are enabled in AD and on the SQL Server ",Ad Users and Groups ,Advanced
Instance,Sqlinstance,ErrorLog,"ErrorLog, Medium, Instance",app.sqlinstance policy.errorlog.warningwindow ,Tests that the SQL Server Error Log does not have any Severity 17-24 level entries within the specified (default 2) days,Error Log Entries,DBA
Instance,Sqlinstance,ErrorLogCount,"ErrorLogCount, CIS, Low, Instance",app.sqlinstance policy.errorlog.logcount ,Tests that the number of SQL Server Error Logs configured. Default value is -1 which means off (will use 6 files).,Error Log Count,DBA
Instance,Sqlinstance,MaxDopInstance,"MaxDopInstance, MaxDop, Medium, Instance",app.sqlinstance policy.instancemaxdop.userecommended policy.instancemaxdop.maxdop policy.instancemaxdop.excludeinstance ,Tests that the instance level MaxDop settings on all instances (except those specified default blank) are set to the recommended value if specified (default false) or to the specified value (default 0),Instance MaxDop,DBA
Instance,Sqlinstance,TwoDigitYearCutoff,"TwoDigitYearCutoff, Low, Instance",app.sqlinstance policy.twodigityearcutoff ,Tests that the 'Two Digit Year Cutoff' configuration setting matches the specified value (default 2049),Two Digit Year Cutoff,DBA
Instance,Sqlinstance,TraceFlagsExpected,"TraceFlagsExpected, TraceFlag, High, Instance",app.sqlinstance policy.traceflags.expected ,Tests that the specified (default none) trace flags are running on the instance,Trace Flags Expected,DBA
Instance,Sqlinstance,TraceFlagsNotExpected,"TraceFlagsNotExpected, TraceFlag, Medium, Instance",app.sqlinstance policy.traceflags.notexpected policy.traceflags.expected ,Tests that the specified (default none) trace flags are not running on the instance,Trace Flags Not Expected,DBA
Instance,Sqlinstance,CLREnabled,"CLREnabled, security, CIS, High, Instance",app.sqlinstance policy.security.clrenabled ,Tests that the CLR Enabled configuration setting is set as specified (default false),CLR Enabled,DBA
Instance,Sqlinstance,CrossDBOwnershipChaining,"CrossDBOwnershipChaining, security, CIS, Medium, Instance",app.sqlinstance ,Tests that the Cross Database Ownership Chaining configuration setting is set as specified (default false),Cross Database Ownership Chaining,DBA
Instance,Sqlinstance,AdHocDistributedQueriesEnabled,"AdHocDistributedQueriesEnabled, security, CIS, Medium, Instance",app.sqlinstance policy.security.AdHocDistributedQueriesEnabled ,Tests that the AdHoc Distributed Queries configuration setting is set as specified (default false),Ad Hoc Distributed Queries,DBA
Instance,Sqlinstance,XpCmdShellDisabled,"XpCmdShellDisabled, security, CIS, Medium, Instance",app.sqlinstance policy.security.XpCmdShellDisabled ,Tests that the XP CmdShell configuration setting is set as specified (default true - meaning it should be disabled),XP CmdShell,DBA
Instance,Sqlinstance,ScanForStartupProceduresDisabled,"ScanForStartupProceduresDisabled, Security, CIS, Medium, Instance",app.sqlinstance skip.instance.scanforstartupproceduresdisabled policy.security.scanforstartupproceduresdisabled ,Tests that the Scan For Startup Procedures configuration setting is set as specified (default 0 - meaning it should be disabled),Scan For Startup Procedures,DBA
Instance,Sqlinstance,DefaultTrace,"DefaultTrace, CIS, Low, Instance",app.sqlinstance skip.instance.defaulttrace ,Tests that the default trace configuration is set to enabled,Default Trace,DBA
Instance,Sqlinstance,OLEAutomationProceduresDisabled,"OLEAutomationProceduresDisabled, CIS, Low, Instance",app.sqlinstance skip.instance.oleautomationproceduresdisabled ,Tests that the OLE Automation Procedures configuration setting is set as specified (default 0 - meaning it should be disabled),OLE Automation Procedures Disabled,DBA
Instance,Sqlinstance,RemoteAccessDisabled,"RemoteAccessDisabled, Security, CIS, Medium, Instance",app.sqlinstance skip.instance.remoteaccessdisabled ,Tests that the Remote Access configuration setting is set as specified (default true - meaning it should be disabled),Remote Access Disabled,DBA
Instance,Sqlinstance,LatestBuild,"LatestBuild, Security, CIS, Medium, Instance",app.sqlinstance skip.instance.latestbuild ,Tests that the sees is SQL Server has the newest Service Packs and CUs installed.,Latest Build,Advanced
Instance,Sqlinstance,BuiltInAdmin,"BuiltInAdmin, CIS, Medium, Instance",app.sqlinstance skip.security.builtinadmin ,Tests to see if the BUILTIN\Administrator login exist.,Login BUILTIN Administrators cannot exist,Basic
Instance,Sqlinstance,LocalWindowsGroup,"LocalWindowsGroup, Security, CIS, Medium, Instance",app.sqlinstance skip.security.localwindowsgroup ,Tests that no local Windows group has has a SQL Login.,Local Windows Groups Not Have SQL Logins,Advanced
Instance,Sqlinstance,LoginAuditFailed,"LoginAuditFailed, Security, CIS, Medium, Instance",app.sqlinstance skip.security.loginauditlevelfailed ,Tests that server level logins are recorded for failed logins.,Failed Login Auditing,Advanced
Instance,Sqlinstance,LoginAuditSuccessful,"LoginAuditSuccessful, Security, CIS, Medium, Instance",app.sqlinstance skip.security.loginauditlevelsuccessful ,Tests that server level logins are recorded for successful and failed logins.,Successful Login Auditing,Advanced
Instance,Sqlinstance,SqlAgentProxiesNoPublicRole,"SqlAgentProxiesNoPublicRole, Security, CIS, Medium, Instance",app.sqlinstance skip.security.sqlagentproxiesnopublicrole ,Tests that the public role does not have access to SQL Agent Proxies.,SqlAgentProxiesNoPublicRole,DBA
Instance,Sqlinstance,HideInstance,"HideInstance, Security, CIS, Medium, Instance",app.sqlinstance skip.security.hideinstance ,Tests that each hide instance is set to YES for the instance.,Hide Instance,DBA
Instance,Sqlinstance,EngineServiceAdmin,"EngineServiceAdmin, Security, CIS, Medium, Instance",app.sqlinstance skip.security.EngineServiceAdmin ,Tests that the SQL Engine service account is not a local administrator.,SQL Engine Service Admin,Advanced
Instance,Sqlinstance,AgentServiceAdmin,"AgentServiceAdmin, Security, CIS, Medium, Instance",app.sqlinstance skip.security.AgentServiceAdmin ,Tests that the SQL Agent service account is not a local administrator.,SQL Agent Service Admin,Advanced
Instance,Sqlinstance,FullTextServiceAdmin,"FullTextServiceAdmin, Security, CIS, Medium, Instance",app.sqlinstance skip.security.FullTextServiceAdmin ,Tests that the SQL Full Text service account is not a local administrator.,SQL Full Text Service Admin,Advanced
Instance,Sqlinstance,LoginCheckPolicy,"LoginCheckPolicy, Security, CIS, Medium, Instance",app.sqlinstance skip.security.LoginCheckPolicy ,Tests to see if CHECK_POLICY property is set for all logins.,Login Check Policy,DBA
Instance,Sqlinstance,LoginPasswordExpiration,"LoginPasswordExpiration, Security, CIS, Medium, Instance",app.sqlinstance skip.security.LoginPasswordExpiration ,Tests to see if password expiration policy is set for sql logins in sysadmin role.,Login Password Expiration,Advanced
Instance,Sqlinstance,LoginMustChange,"LoginMustChange, Security, CIS, Medium, Instance",app.sqlinstance skip.security.LoginMustChange ,Tests to see if password must change is enabled for new logins.,Login Must Change,Advanced
Instance,Sqlinstance,SuspectPageLimit,"SuspectPageLimit, Medium, Instance",app.sqlinstance skip.instance.suspectpagelimit policy.suspectpages.threshold ,Tests that the suspect_pages table in msdb is not nearing the limit of 1000 rows,Suspect Page Limit Nearing,DBA
Instance,ComputerName,SqlBrowserServiceAccount,"SqlBrowserServiceAccount, ServiceAccount, CIS, High, Instance",app.computername ,Tests that the SQL Browser Service is started and set to auto-start if there are multiple instances and stopped and set to disabled if there is only one ,SQL Browser Service,Advanced
LogShipping,Sqlinstance,LogShippingPrimary,"LogShippingPrimary, LogShipping",app.sqlinstance ,Tests that the Log Shipping Primary status is ok,Log Shipping Status Primary,Advanced
LogShipping,Sqlinstance,LogShippingSecondary,"LogShippingSecondary, LogShipping",app.sqlinstance ,Tests that the Log Shipping Secondary status is ok,Log Shipping Status Secondary,Advanced
MaintenanceSolution,Sqlinstance,OlaInstalled,"OlaInstalled, MaintenanceSolution",app.sqlinstance policy.ola.database ,Tests that Ola maintenance solution is installed by testing the specified (default master) database for the command log table and the stored procedures,Ola maintenance solution installed,DBA
